"ITTER107","Territorio","TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","0_HFOOD_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2016","2016",71.6,,
"IT","Italia","0_HFOOD_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2017","2017",68.2,,
"IT","Italia","0_HFOOD_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2018","2018",70.9,,
"IT","Italia","0_HFOOD_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2019","2019",69.7,,
"IT","Italia","0_SANFAC_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2014","2014",78,,
"IT","Italia","0_SANFAC_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2015","2015",80.8,,
"IT","Italia","0_SANFAC_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2016","2016",81.7,,
"IT","Italia","0_SANFAC_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2017","2017",79.5,,
"IT","Italia","0_SANFAC_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2018","2018",82.1,,
"IT","Italia","0_SANFAC_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2019","2019",78.8,,
"IT","Italia","0_HFOOD_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2014","2014",1127,,
"IT","Italia","0_HFOOD_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2015","2015",1225,,
"IT","Italia","0_HFOOD_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2016","2016",1251,,
"IT","Italia","0_HFOOD_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2017","2017",1248,,
"IT","Italia","0_HFOOD_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2018","2018",1253,,
"IT","Italia","0_HFOOD_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2019","2019",1229,,
"IT","Italia","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2014","2014",1321,,
"IT","Italia","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2015","2015",1408,,
"IT","Italia","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2016","2016",1427,,
"IT","Italia","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2017","2017",1455,,
"IT","Italia","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2018","2018",1451,,
"IT","Italia","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2019","2019",1391,,
"IT","Italia","0_HFOOD_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2014","2014",24.3,,
"IT","Italia","0_HFOOD_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2015","2015",23.4,,
"IT","Italia","0_HFOOD_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2016","2016",22.9,,
"IT","Italia","0_HFOOD_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2017","2017",19.5,,
"IT","Italia","0_HFOOD_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2018","2018",20.4,,
"IT","Italia","0_HFOOD_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2019","2019",23.1,,
"IT","Italia","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2014","2014",34,,
"IT","Italia","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2015","2015",33.9,,
"IT","Italia","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2016","2016",31.1,,
"IT","Italia","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2017","2017",29.8,,
"IT","Italia","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2018","2018",31.9,,
"IT","Italia","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2019","2019",30.6,,
"7","2.001 - 10.000 ab.","0_MED_CAREV","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2014","2014",40.4,,
"7","2.001 - 10.000 ab.","0_MED_CAREV","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2015","2015",45.8,,
"7","2.001 - 10.000 ab.","0_MED_CAREV","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2016","2016",39.4,,
"7","2.001 - 10.000 ab.","0_MED_CAREV","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2017","2017",44,,
"7","2.001 - 10.000 ab.","0_MED_CAREV","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2018","2018",42.9,,
"7","2.001 - 10.000 ab.","0_MED_CAREV","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2019","2019",41.8,,
"ITE4","Lazio","0_HFOOD_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2014","2014",87,,
"ITE4","Lazio","0_HFOOD_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2015","2015",96,,
"ITE4","Lazio","0_HFOOD_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2016","2016",131,,
"ITE4","Lazio","0_HFOOD_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2017","2017",118,,
"ITE4","Lazio","0_HFOOD_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2018","2018",131,,
"ITE4","Lazio","0_HFOOD_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2019","2019",97,,
"ITG2","Sardegna","0_SANFAC_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2014","2014",82.5,,
"ITG2","Sardegna","0_SANFAC_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2015","2015",83.6,,
"ITG2","Sardegna","0_SANFAC_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2016","2016",82.6,,
"ITG2","Sardegna","0_SANFAC_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2017","2017",73.5,,
"ITG2","Sardegna","0_SANFAC_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2018","2018",80,,
"ITG2","Sardegna","0_SANFAC_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2019","2019",80.8,,
"ITF6","Calabria","0_MED_CAREQ","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2014","2014",90.2,,
"ITF6","Calabria","0_MED_CAREQ","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2015","2015",86.2,,
"ITF6","Calabria","0_MED_CAREQ","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2016","2016",95.5,,
"ITF6","Calabria","0_MED_CAREQ","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2017","2017",84.3,,
"ITF6","Calabria","0_MED_CAREQ","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2018","2018",76.1,,
"ITF6","Calabria","0_MED_CAREQ","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2019","2019",90.5,,
"ITFG","Mezzogiorno","0_MED_CAREV","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2014","2014",25.1,,
"ITFG","Mezzogiorno","0_MED_CAREV","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2015","2015",25.5,,
"ITFG","Mezzogiorno","0_MED_CAREV","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2016","2016",27,,
"ITFG","Mezzogiorno","0_MED_CAREV","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2017","2017",23.4,,
"ITFG","Mezzogiorno","0_MED_CAREV","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2018","2018",22.3,,
"ITFG","Mezzogiorno","0_MED_CAREV","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2019","2019",27.2,,
"2","centro area metropolitana","0_HFOOD_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2014","2014",49,,
"2","centro area metropolitana","0_HFOOD_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2015","2015",58,,
"2","centro area metropolitana","0_HFOOD_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2016","2016",77,,
"2","centro area metropolitana","0_HFOOD_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2017","2017",46,,
"2","centro area metropolitana","0_HFOOD_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2018","2018",58,,
"2","centro area metropolitana","0_HFOOD_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2019","2019",54,,
"ITC4","Lombardia","0_HFOOD_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2014","2014",226,,
"ITC4","Lombardia","0_HFOOD_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2015","2015",207,,
"ITC4","Lombardia","0_HFOOD_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2016","2016",248,,
"ITC4","Lombardia","0_HFOOD_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2017","2017",232,,
"ITC4","Lombardia","0_HFOOD_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2018","2018",221,,
"ITC4","Lombardia","0_HFOOD_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2019","2019",200,,
"ITG1","Sicilia","0_MED_CAREQ","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2014","2014",107,,
"ITG1","Sicilia","0_MED_CAREQ","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2015","2015",127,,
"ITG1","Sicilia","0_MED_CAREQ","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2016","2016",128,,
"ITG1","Sicilia","0_MED_CAREQ","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2017","2017",99,,
"ITG1","Sicilia","0_MED_CAREQ","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2018","2018",120,,
"ITG1","Sicilia","0_MED_CAREQ","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2019","2019",121,,
"ITF5","Basilicata","0_MED_CAREQ","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2014","2014",85.4,,
"ITF5","Basilicata","0_MED_CAREQ","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2015","2015",80,,
"ITF5","Basilicata","0_MED_CAREQ","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2016","2016",82.4,,
"ITF5","Basilicata","0_MED_CAREQ","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2017","2017",89.5,,
"ITF5","Basilicata","0_MED_CAREQ","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2018","2018",81.1,,
"ITF5","Basilicata","0_MED_CAREQ","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2019","2019",91.2,,
"ITC4","Lombardia","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2014","2014",48.8,,
"ITC4","Lombardia","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2015","2015",47,,
"ITC4","Lombardia","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2016","2016",38.6,,
"ITC4","Lombardia","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2017","2017",35.4,,
"ITC4","Lombardia","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2018","2018",40.7,,
"ITC4","Lombardia","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2019","2019",36.5,,
"ITF4","Puglia","0_HFOOD_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2014","2014",64.4,,
"ITF4","Puglia","0_HFOOD_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2015","2015",56.3,,
"ITF4","Puglia","0_HFOOD_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2016","2016",54.7,,
"ITF4","Puglia","0_HFOOD_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2017","2017",73,,
"ITF4","Puglia","0_HFOOD_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2018","2018",62.5,,
"ITF4","Puglia","0_HFOOD_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2019","2019",62,,
"ITCD","Nord","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2014","2014",657,,
"ITCD","Nord","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2015","2015",736,,
"ITCD","Nord","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2016","2016",749,,
"ITCD","Nord","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2017","2017",742,,
"ITCD","Nord","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2018","2018",720,,
"ITCD","Nord","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2019","2019",709,,
"6","fino a 2.000 ab.","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2014","2014",40.3,,
"6","fino a 2.000 ab.","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2015","2015",39.7,,
"6","fino a 2.000 ab.","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2016","2016",40.9,,
"6","fino a 2.000 ab.","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2017","2017",32.6,,
"6","fino a 2.000 ab.","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2018","2018",35.7,,
"6","fino a 2.000 ab.","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2019","2019",40.2,,
"ITF3","Campania","0_NURS_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2014","2014",82.8,,
"ITF3","Campania","0_NURS_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2015","2015",81.5,,
"ITF3","Campania","0_NURS_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2016","2016",92.6,,
"ITF3","Campania","0_NURS_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2017","2017",83.5,,
"ITF3","Campania","0_NURS_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2018","2018",82.1,,
"ITF3","Campania","0_NURS_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2019","2019",81.9,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2014","2014",13,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2015","2015",13,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2016","2016",15,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2017","2017",12,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2018","2018",15,,
"ITD1","Provincia Autonoma Bolzano / Bozen","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2019","2019",17,,
"ITC","Nord-ovest","0_HFOOD_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2014","2014",159,,
"ITC","Nord-ovest","0_HFOOD_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2015","2015",126,,
"ITC","Nord-ovest","0_HFOOD_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2016","2016",144,,
"ITC","Nord-ovest","0_HFOOD_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2017","2017",114,,
"ITC","Nord-ovest","0_HFOOD_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2018","2018",120,,
"ITC","Nord-ovest","0_HFOOD_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2019","2019",121,,
"ITD2","Provincia Autonoma Trento","0_NURS_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2014","2014",89.7,,
"ITD2","Provincia Autonoma Trento","0_NURS_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2015","2015",95.2,,
"ITD2","Provincia Autonoma Trento","0_NURS_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2016","2016",97.6,,
"ITD2","Provincia Autonoma Trento","0_NURS_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2017","2017",95.1,,
"ITD2","Provincia Autonoma Trento","0_NURS_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2018","2018",97.3,,
"ITD2","Provincia Autonoma Trento","0_NURS_Q","molto e abbastanza","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2019","2019",95.9,,
"ITD4","Friuli-Venezia Giulia","0_SANFAC_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2014","2014",16,,
"ITD4","Friuli-Venezia Giulia","0_SANFAC_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2015","2015",18,,
"ITD4","Friuli-Venezia Giulia","0_SANFAC_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2016","2016",8,,
"ITD4","Friuli-Venezia Giulia","0_SANFAC_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2017","2017",17,,
"ITD4","Friuli-Venezia Giulia","0_SANFAC_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2018","2018",14,,
"ITD4","Friuli-Venezia Giulia","0_SANFAC_V","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2019","2019",11,,
"ITF4","Puglia","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2014","2014",10.3,,
"ITF4","Puglia","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2015","2015",13.7,,
"ITF4","Puglia","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2016","2016",16.3,,
"ITF4","Puglia","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2017","2017",13,,
"ITF4","Puglia","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2018","2018",12.5,,
"ITF4","Puglia","0_SANFAC_V","molto ","HSC","per 100 persone con le stesse caratteristiche","Y_GE0","0 anni e più","2019","2019",21.1,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2014","2014",3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2015","2015",5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2016","2016",4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2017","2017",4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2018","2018",5,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","0_SANFAC_Q","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2019","2019",3,,
"ITC4","Lombardia","0_MED_CAREV","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2014","2014",172,,
"ITC4","Lombardia","0_MED_CAREV","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2015","2015",149,,
"ITC4","Lombardia","0_MED_CAREV","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2016","2016",163,,
"ITC4","Lombardia","0_MED_CAREV","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2017","2017",150,,
"ITC4","Lombardia","0_MED_CAREV","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2018","2018",132,,
"ITC4","Lombardia","0_MED_CAREV","molto ","THV","valori in migliaia","Y_GE0","0 anni e più","2019","2019",124,,
"ITF6","Calabria","0_MED_CAREQ","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2014","2014",54,,
"ITF6","Calabria","0_MED_CAREQ","molto e abbastanza","THV","valori in migliaia","Y_GE0","0 anni e più","2015","2015",39,,
