"ITTER107","Territorio","TIPO_DATO14","Tipo dato","ISTITUTO_SAN","Tipo di istituto","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC2","Valle d'Aosta / Vallée d'Aoste","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",15882,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",19173,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",18812,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",16991,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",16087,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",16381,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",24,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",24,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",40,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",28,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",17,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",21,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",24,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",24,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",40,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",29,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",17,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",21,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",0.19,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",0.19,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",0.31,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",0.23,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",0.13,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",0.17,,
"ITC3","Liguria","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",5,,
"ITC3","Liguria","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",5,,
"ITC3","Liguria","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",6,,
"ITC3","Liguria","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",5,,
"ITC3","Liguria","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",7,,
"ITC3","Liguria","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",8,,
"ITC3","Liguria","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",237207,,
"ITC3","Liguria","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",246717,,
"ITC3","Liguria","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",257626,,
"ITC3","Liguria","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",273005,,
"ITC3","Liguria","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",276466,,
"ITC3","Liguria","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",275642,,
"ITC3","Liguria","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",40452,,
"ITC3","Liguria","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",44192,,
"ITC3","Liguria","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",44379,,
"ITC3","Liguria","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",35856,,
"ITC3","Liguria","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",33831,,
"ITC3","Liguria","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",35785,,
"ITC3","Liguria","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",13936,,
"ITC3","Liguria","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",13630,,
"ITC3","Liguria","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",12939,,
"ITC3","Liguria","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",10177,,
"ITC3","Liguria","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",10725,,
"ITC3","Liguria","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",11157,,
"ITC3","Liguria","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",8.89,,
"ITC3","Liguria","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",8.64,,
"ITC3","Liguria","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",8.25,,
"ITC3","Liguria","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",6.52,,
"ITC3","Liguria","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",6.9,,
"ITC3","Liguria","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",7.3,,
"ITC4","Lombardia","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",69,,
"ITC4","Lombardia","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",68,,
"ITC4","Lombardia","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",68,,
"ITC4","Lombardia","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",66,,
"ITC4","Lombardia","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",65,,
"ITC4","Lombardia","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",64,,
"ITC4","Lombardia","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",3745949,,
"ITC4","Lombardia","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",3795632,,
"ITC4","Lombardia","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",3784584,,
"ITC4","Lombardia","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",3785208,,
"ITC4","Lombardia","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",3753733,,
"ITC4","Lombardia","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",3714238,,
"ITC4","Lombardia","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",108339,,
"ITC4","Lombardia","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",111562,,
"ITC4","Lombardia","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",120664,,
"ITC4","Lombardia","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",118074,,
"ITC4","Lombardia","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",119477,,
"ITC4","Lombardia","30","giornate di presenza in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",134919,,
"ITC4","Lombardia","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",83623,,
"ITC4","Lombardia","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",86819,,
"ITC4","Lombardia","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",95071,,
"ITC4","Lombardia","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",95233,,
"ITC4","Lombardia","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",97657,,
"ITC4","Lombardia","118","dimissioni in day hospital","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",111927,,
"ITC4","Lombardia","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",8.35,,
"ITC4","Lombardia","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",8.68,,
"ITC4","Lombardia","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",9.49,,
"ITC4","Lombardia","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",9.5,,
"ITC4","Lombardia","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",9.72,,
"ITC4","Lombardia","119","dimissioni in day hospital per 1.000 abitanti","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",11.17,,
"ITD","Nord-est","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",75,,
"ITD","Nord-est","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",75,,
"ITD","Nord-est","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",76,,
"ITD","Nord-est","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",77,,
"ITD","Nord-est","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",77,,
"ITD","Nord-est","18","istituti di cura","PRVHOSPNHS","casa di cura privata accreditata","2019","2019",74,,
"ITD","Nord-est","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2014","2014",2411418,,
"ITD","Nord-est","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2015","2015",2434821,,
"ITD","Nord-est","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2016","2016",2417941,,
"ITD","Nord-est","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2017","2017",2380206,,
"ITD","Nord-est","25","giornate di degenza in regime ordinario","PRVHOSPNHS","casa di cura privata accreditata","2018","2018",2353554,,
